"Date","Country","City","Specie","count","min","max","median","variance"
"2015-02-07","VN","Huế","no2",24,4.9,22.6,8.8,196.44
"2015-02-24","VN","Huế","no2",24,0.3,4.3,1.8,15.03
"2015-02-06","VN","Huế","no2",24,2.6,24.7,12.4,424.26
"2015-03-12","VN","Huế","no2",24,0.9,7.7,3.3,33.78
"2015-04-10","VN","Huế","no2",24,1.5,16.2,4.4,186.38
"2015-04-12","VN","Huế","no2",24,5.6,24.9,14.7,338.53
"2015-06-04","VN","Huế","no2",23,0.7,126.1,5.8,6469.03
"2015-06-10","VN","Huế","no2",20,0.7,134.3,3.6,8552.36
"2014-12-30","VN","Huế","no2",24,4.7,14.3,8.6,78.71
"2015-01-29","VN","Huế","no2",24,2.3,13.7,4.2,117.28
"2015-06-17","VN","Huế","no2",18,0.8,128.5,4.2,8570.45
"2015-02-01","VN","Huế","no2",24,1.3,4.5,3.5,11.23
"2015-03-30","VN","Huế","no2",24,1.8,15.9,9.3,202.23
"2015-05-10","VN","Huế","no2",17,2.3,12.4,6,115.08
"2015-06-26","VN","Huế","no2",24,0.4,122.5,4.6,5847.1
"2015-01-14","VN","Huế","no2",24,3,29.9,13,392.19
"2015-01-20","VN","Huế","no2",24,6.2,15.8,8.5,101.11
"2015-04-13","VN","Huế","no2",24,3.4,26.1,15.4,575.01
"2015-05-12","VN","Huế","no2",24,0.5,139.2,9.9,7312.96
"2015-06-01","VN","Huế","no2",12,2,13.3,7.3,139.88
"2015-01-21","VN","Huế","no2",24,4.4,16,8.9,149.29
"2015-02-09","VN","Huế","no2",24,4.9,22.3,17.8,383.43
"2015-05-11","VN","Huế","no2",20,1.4,191.4,5.5,17252.6
"2015-05-15","VN","Huế","no2",23,2.4,156.5,8.1,9741.65
"2015-01-07","VN","Huế","no2",24,1.2,5.3,3.2,14
"2015-01-27","VN","Huế","no2",9,4.2,32,9.8,798.42
"2015-06-20","VN","Huế","no2",24,1.9,127.5,5.7,6219.84
"2015-06-27","VN","Huế","no2",17,1,122.2,5.4,8175.48
"2015-03-05","VN","Huế","no2",24,1.4,6.6,3.7,22.47
"2015-06-13","VN","Huế","no2",22,1.5,157.2,5.8,10546.6
"2015-02-15","VN","Huế","no2",24,3.1,10.7,5.1,49.96
"2015-04-07","VN","Huế","no2",24,5.7,22.9,10.3,117.49
"2015-05-17","VN","Huế","no2",24,1.6,150.8,6.8,8815.89
"2015-06-18","VN","Huế","no2",24,1.6,151.4,7.7,8814.39
"2015-06-21","VN","Huế","no2",18,1,147.4,3.2,11454.2
"2015-01-08","VN","Huế","no2",24,1,6.3,3.3,26.57
"2015-01-28","VN","Huế","no2",24,2.6,13.1,5,65.56
